registration_number,ngo_name,registration_type,state,city,registered_year,focus_area,website,director_name,beneficiaries_estimate,funding_summary,contact_email,contact_phone,address,annual_report_url,source_links,notes
NA/2015/374069,Asha Society 27,NITI Aayog (Darpan),Nagaland,Kohima,2019,Mental Health,https://www.ashasociety27.org,Suhana Wali,"1.28M (approx., 2021)","FY2024: Total ~ INR 5,050,000; Grants INR 500,000; Donations INR 3,750,000; Govt INR 800,000",contact27@asha.society.27.org,9651850671,"111, Kohima Main Road, Near Market, Nagaland",https://www.ashasociety27.org/annual-report.pdf,https://www.ashasociety27.org|https://example-simulated-source.org/27,Simulated beneficiary numbers
896625773,Roshni Initiative 28,FCRA,Uttarakhand,Rudrapur,2011,Elderly Care,https://www.roshniinitiative28.org,Tanya Saxena,"2.41Lakh (approx., 2021)","FY2020: Total ~ INR 2,630,000; Grants INR 1,000,000; Donations INR 930,000; Govt INR 700,000",contact28@roshni.initiative.28.org,9945314737,"146, Rudrapur Main Road, Near School, Uttarakhand",https://www.roshniinitiative28.org/annual-report.pdf,https://www.roshniinitiative28.org|https://example-simulated-source.org/28,Simulated beneficiary numbers
U11330SI2016NPL26042,Nirmaan Sanstha 29,Section-8 Company,Sikkim,Gangtok,2004,Livelihood,https://www.nirmaansanstha29.org,Hansh Hans,"3.39M (approx., 2023)","FY2023: Total ~ INR 3,260,000; Grants INR 700,000; Donations INR 1,560,000; Govt INR 1,000,000",contact29@nirmaan.sanstha.29.org,7367837770,"24, Gangtok Main Road, Near Market, Sikkim",https://www.nirmaansanstha29.org/annual-report.pdf,https://www.nirmaansanstha29.org|https://example-simulated-source.org/29,Simulated beneficiary numbers
U53357AS2011NPL93124,Navjeevan Sanstha 30,Section-8 Company,Assam,Nagaon,2002,Disability Services,https://www.navjeevansanstha30.org,Suhana Varma,"1.82M (approx., 2023)","FY2023: Total ~ INR 3,810,000; Grants INR 1,500,000; Donations INR 1,410,000; Govt INR 900,000",contact30@navjeevan.sanstha.30.org,8444313518,"244, Nagaon Main Road, Near Railway Station, Assam",https://www.navjeevansanstha30.org/annual-report.pdf,https://www.navjeevansanstha30.org|https://example-simulated-source.org/30,Simulated beneficiary numbers
TR/2009/2854,Dharitri Organisation 31,Trust,Karnataka,Mysuru,2008,Child Welfare,https://www.dharitriorganisation31.org,Chirag Karpe,"3.94M (approx., 2021)","FY2019: Total ~ INR 3,340,000; Grants INR 1,400,000; Donations INR 1,740,000; Govt INR 200,000",contact31@dharitri.organisation.31.org,9824008427,"27, Mysuru Main Road, Near Community Centre, Karnataka",https://www.dharitriorganisation31.org/annual-report.pdf,https://www.dharitriorganisation31.org|https://example-simulated-source.org/31,Simulated beneficiary numbers
S/10710/MI,Annapurna Welfare 32,Society,Mizoram,Aizawl,2004,Healthcare,https://www.annapurnawelfare32.org,Piya Hayre,"4.38M (approx., 2021)","FY2021: Total ~ INR 6,750,000; Grants INR 1,400,000; Donations INR 4,650,000; Govt INR 700,000",contact32@annapurna.welfare.32.org,9022941318,"196, Aizawl Main Road, Near School, Mizoram",https://www.annapurnawelfare32.org/annual-report.pdf,https://www.annapurnawelfare32.org|https://example-simulated-source.org/32,Funding estimated for demo
S/82987/AN,Asha Samiti 33,Society,Andhra Pradesh,Kurnool,2020,Animal Welfare,https://www.ashasamiti33.org,Mamooty Sachar,"2.44M (approx., 2018)","FY2024: Total ~ INR 2,570,000; Grants INR 700,000; Donations INR 1,470,000; Govt INR 400,000",contact33@asha.samiti.33.org,7412328120,"105, Kurnool Main Road, Near School, Andhra Pradesh",https://www.ashasamiti33.org/annual-report.pdf,https://www.ashasamiti33.org|https://example-simulated-source.org/33,Funding estimated for demo
U25043TA2017NPL30466,Samarth Initiative 34,Section-8 Company,Tamil Nadu,Coimbatore,2018,Arts & Culture,https://www.samarthinitiative34.org,Divyansh Chaudhry,"1.04M (approx., 2021)","FY2021: Total ~ INR 5,080,000; Grants INR 900,000; Donations INR 3,580,000; Govt INR 600,000",contact34@samarth.initiative.34.org,9242102499,"236, Coimbatore Main Road, Near Market, Tamil Nadu",https://www.samarthinitiative34.org/annual-report.pdf,https://www.samarthinitiative34.org|https://example-simulated-source.org/34,Funding estimated for demo
S/80129/HA,Navjeevan Association 35,Society,Haryana,Gurugram,2020,Animal Welfare,https://www.navjeevanassociation35.org,Devansh Sampath,"4.35M (approx., 2023)","FY2020: Total ~ INR 6,490,000; Grants INR 1,400,000; Donations INR 4,690,000; Govt INR 400,000",contact35@navjeevan.association.35.org,8013990490,"196, Gurugram Main Road, Near Railway Station, Haryana",https://www.navjeevanassociation35.org/annual-report.pdf,https://www.navjeevanassociation35.org|https://example-simulated-source.org/35,Funding estimated for demo
367887167,Dharitri Initiative 36,FCRA,Goa,Margao,2010,Healthcare,https://www.dharitriinitiative36.org,Aarush Rajagopalan,"2.12M (approx., 2020)","FY2023: Total ~ INR 5,860,000; Grants INR 300,000; Donations INR 4,960,000; Govt INR 600,000",contact36@dharitri.initiative.36.org,8125674680,"117, Margao Main Road, Near Community Centre, Goa",https://www.dharitriinitiative36.org/annual-report.pdf,https://www.dharitriinitiative36.org|https://example-simulated-source.org/36,
S/48419/MA,Samarth Sanstha 37,Society,Manipur,Imphal,1997,Rural Development,https://www.samarthsanstha37.org,Devansh Jayaraman,"2.42Lakh (approx., 2023)","FY2024: Total ~ INR 6,290,000; Grants INR 1,900,000; Donations INR 4,090,000; Govt INR 300,000",contact37@samarth.sanstha.37.org,9770348247,"226, Imphal Main Road, Near School, Manipur",https://www.samarthsanstha37.org/annual-report.pdf,https://www.samarthsanstha37.org|https://example-simulated-source.org/37,Sample data - synthetic
AN/2018/892277,Navjeevan Trust 38,NITI Aayog (Darpan),Andhra Pradesh,Kurnool,2019,Education,https://www.navjeevantrust38.org,Aradhya Madan,"4.62M (approx., 2019)","FY2023: Total ~ INR 3,070,000; Grants INR 1,200,000; Donations INR 970,000; Govt INR 900,000",contact38@navjeevan.trust.38.org,7712748467,"121, Kurnool Main Road, Near Railway Station, Andhra Pradesh",https://www.navjeevantrust38.org/annual-report.pdf,https://www.navjeevantrust38.org|https://example-simulated-source.org/38,Sample data - synthetic
296874458,Kshitij Sanstha 39,FCRA,Mizoram,Aizawl,2024,Child Welfare,https://www.kshitijsanstha39.org,Tanya Yadav,"3.16M (approx., 2021)","FY2024: Total ~ INR 5,750,000; Grants INR 1,000,000; Donations INR 4,450,000; Govt INR 300,000",contact39@kshitij.sanstha.39.org,7449972787,"89, Aizawl Main Road, Near Market, Mizoram",https://www.kshitijsanstha39.org/annual-report.pdf,https://www.kshitijsanstha39.org|https://example-simulated-source.org/39,Sample data - synthetic
809621068,Seva Association 40,FCRA,Himachal Pradesh,Mandi,2018,Environment,https://www.sevaassociation40.org,Kiara Deshpande,"8.36Lakh (approx., 2022)","FY2022: Total ~ INR 1,670,000; Grants INR 1,400,000; Donations INR 70,000; Govt INR 200,000",contact40@seva.association.40.org,8662702895,"223, Mandi Main Road, Near Community Centre, Himachal Pradesh",https://www.sevaassociation40.org/annual-report.pdf,https://www.sevaassociation40.org|https://example-simulated-source.org/40,Sample data - synthetic
U62098TA2020NPL11527,Kshitij Society 41,Section-8 Company,Tamil Nadu,Tiruchirappalli,2004,Elderly Care,https://www.kshitijsociety41.org,Yuvaan Edwin,"7.58Lakh (approx., 2021)","FY2024: Total ~ INR 5,190,000; Grants INR 300,000; Donations INR 3,890,000; Govt INR 1,000,000",contact41@kshitij.society.41.org,8865780913,"162, Tiruchirappalli Main Road, Near Market, Tamil Nadu",https://www.kshitijsociety41.org/annual-report.pdf,https://www.kshitijsociety41.org|https://example-simulated-source.org/41,
U52516HA2001NPL39452,Sankalp Foundation 42,Section-8 Company,Haryana,Faridabad,2014,Human Rights,https://www.sankalpfoundation42.org,Navya Kapur,"2.02M (approx., 2021)","FY2022: Total ~ INR 2,830,000; Grants INR 1,800,000; Donations INR 730,000; Govt INR 300,000",contact42@sankalp.foundation.42.org,8562386922,"45, Faridabad Main Road, Near Community Centre, Haryana",https://www.sankalpfoundation42.org/annual-report.pdf,https://www.sankalpfoundation42.org|https://example-simulated-source.org/42,Simulated beneficiary numbers
S/89815/HA,Roshni Centre 43,Society,Haryana,Panipat,2002,Disaster Relief,https://www.roshnicentre43.org,Manikya Borra,"3.23M (approx., 2024)","FY2022: Total ~ INR 2,340,000; Grants INR 1,500,000; Donations INR 540,000; Govt INR 300,000",contact43@roshni.centre.43.org,9217594647,"217, Panipat Main Road, Near Market, Haryana",https://www.roshnicentre43.org/annual-report.pdf,https://www.roshnicentre43.org|https://example-simulated-source.org/43,Simulated beneficiary numbers
U45976HI2000NPL75177,Sankalp Initiative 44,Section-8 Company,Himachal Pradesh,Solan,1998,Human Rights,https://www.sankalpinitiative44.org,Zoya Sura,"8.15Lakh (approx., 2023)","FY2022: Total ~ INR 2,600,000; Grants INR 2,000,000; Donations INR 200,000; Govt INR 400,000",contact44@sankalp.initiative.44.org,9097439533,"159, Solan Main Road, Near Market, Himachal Pradesh",https://www.sankalpinitiative44.org/annual-report.pdf,https://www.sankalpinitiative44.org|https://example-simulated-source.org/44,
TR/2010/98973,Pragati Centre 45,Trust,Himachal Pradesh,Solan,2008,Human Rights,https://www.pragaticentre45.org,Alia Din,"2.84M (approx., 2024)","FY2020: Total ~ INR 2,790,000; Grants INR 300,000; Donations INR 2,390,000; Govt INR 100,000",contact45@pragati.centre.45.org,8232858842,"66, Solan Main Road, Near School, Himachal Pradesh",https://www.pragaticentre45.org/annual-report.pdf,https://www.pragaticentre45.org|https://example-simulated-source.org/45,Sample data - synthetic
MI/2021/24594,Dharitri Trust 46,NITI Aayog (Darpan),Mizoram,Aizawl,2020,Mental Health,https://www.dharitritrust46.org,Zara Boase,"2.1Lakh (approx., 2022)","FY2020: Total ~ INR 4,270,000; Grants INR 1,700,000; Donations INR 1,670,000; Govt INR 900,000",contact46@dharitri.trust.46.org,8817549651,"173, Aizawl Main Road, Near Railway Station, Mizoram",https://www.dharitritrust46.org/annual-report.pdf,https://www.dharitritrust46.org|https://example-simulated-source.org/46,
U28320GO2001NPL5877,Navjeevan Trust 47,Section-8 Company,Goa,Margao,1999,Arts & Culture,https://www.navjeevantrust47.org,Trisha Mann,"3.48M (approx., 2023)","FY2023: Total ~ INR 5,260,000; Grants INR 300,000; Donations INR 4,260,000; Govt INR 700,000",contact47@navjeevan.trust.47.org,8711382675,"172, Margao Main Road, Near School, Goa",https://www.navjeevantrust47.org/annual-report.pdf,https://www.navjeevantrust47.org|https://example-simulated-source.org/47,Funding estimated for demo
U68287BI2007NPL48537,Samarth Welfare 48,Section-8 Company,Bihar,Patna,1991,Human Rights,https://www.samarthwelfare48.org,Hazel Srinivas,"4.24Lakh (approx., 2024)","FY2023: Total ~ INR 2,440,000; Grants INR 1,000,000; Donations INR 1,240,000; Govt INR 200,000",contact48@samarth.welfare.48.org,7585064317,"24, Patna Main Road, Near Railway Station, Bihar",https://www.samarthwelfare48.org/annual-report.pdf,https://www.samarthwelfare48.org|https://example-simulated-source.org/48,Sample data - synthetic
TA/2020/821984,Samarth Samiti 49,NITI Aayog (Darpan),Tamil Nadu,Salem,1998,Environment,https://www.samarthsamiti49.org,Raghav Gaba,"1.25Lakh (approx., 2020)","FY2019: Total ~ INR 4,210,000; Grants INR 700,000; Donations INR 3,010,000; Govt INR 500,000",contact49@samarth.samiti.49.org,7904228421,"170, Salem Main Road, Near Community Centre, Tamil Nadu",https://www.samarthsamiti49.org/annual-report.pdf,https://www.samarthsamiti49.org|https://example-simulated-source.org/49,Sample data - synthetic
810651998,Umeed Trust 50,FCRA,Bihar,Patna,2023,Women Empowerment,https://www.umeedtrust50.org,Sumer Sarma,"2.53M (approx., 2021)","FY2019: Total ~ INR 6,930,000; Grants INR 2,000,000; Donations INR 4,930,000; Govt INR 0",contact50@umeed.trust.50.org,7775891783,"243, Patna Main Road, Near Community Centre, Bihar",https://www.umeedtrust50.org/annual-report.pdf,https://www.umeedtrust50.org|https://example-simulated-source.org/50,Funding estimated for demo
S/10632/MI,Jeevan Welfare 51,Society,Mizoram,Aizawl,2014,Rural Development,https://www.jeevanwelfare51.org,Kashvi Ganguly,"4.45M (approx., 2020)","FY2022: Total ~ INR 4,880,000; Grants INR 1,400,000; Donations INR 2,580,000; Govt INR 900,000",contact51@jeevan.welfare.51.org,7592124998,"183, Aizawl Main Road, Near Market, Mizoram",https://www.jeevanwelfare51.org/annual-report.pdf,https://www.jeevanwelfare51.org|https://example-simulated-source.org/51,
SI/2022/941230,Samarth Initiative 52,NITI Aayog (Darpan),Sikkim,Gangtok,2013,Mental Health,https://www.samarthinitiative52.org,Aaina Raj,"1.28M (approx., 2023)","FY2019: Total ~ INR 1,940,000; Grants INR 1,500,000; Donations INR 340,000; Govt INR 100,000",contact52@samarth.initiative.52.org,7657661565,"171, Gangtok Main Road, Near Market, Sikkim",https://www.samarthinitiative52.org/annual-report.pdf,https://www.samarthinitiative52.org|https://example-simulated-source.org/52,
U17861PU2018NPL74608,Sakhi Sanstha 53,Section-8 Company,Punjab,Chandigarh,2022,Human Rights,https://www.sakhisanstha53.org,Pranay Barad,"1.78M (approx., 2019)","FY2021: Total ~ INR 2,740,000; Grants INR 1,500,000; Donations INR 1,140,000; Govt INR 100,000",contact53@sakhi.sanstha.53.org,9516560494,"91, Chandigarh Main Road, Near Community Centre, Punjab",https://www.sakhisanstha53.org/annual-report.pdf,https://www.sakhisanstha53.org|https://example-simulated-source.org/53,Simulated beneficiary numbers
TR/1991/80822,Navjeevan Sanstha 54,Trust,Karnataka,Mangalore,2015,Animal Welfare,https://www.navjeevansanstha54.org,Lagan Doctor,"5.84Lakh (approx., 2019)","FY2019: Total ~ INR 6,970,000; Grants INR 2,000,000; Donations INR 4,970,000; Govt INR 0",contact54@navjeevan.sanstha.54.org,9402445502,"223, Mangalore Main Road, Near Railway Station, Karnataka",https://www.navjeevansanstha54.org/annual-report.pdf,https://www.navjeevansanstha54.org|https://example-simulated-source.org/54,Sample data - synthetic
U50846KE2023NPL43517,Uday Association 55,Section-8 Company,Kerala,Thrissur,2021,Urban Poor,https://www.udayassociation55.org,Misha Keer,"3.71M (approx., 2021)","FY2019: Total ~ INR 2,700,000; Grants INR 800,000; Donations INR 1,100,000; Govt INR 800,000",contact55@uday.association.55.org,9910229014,"114, Thrissur Main Road, Near School, Kerala",https://www.udayassociation55.org/annual-report.pdf,https://www.udayassociation55.org|https://example-simulated-source.org/55,Simulated beneficiary numbers
